,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363
0,9,14,5,11,11,28,10,14,14,14,27,27,23,2,6,5,27,27,29,6,10,22,23,21,6,22,19,6,5,8,6,27,19,24,13,26,11,14,3,14,14,14,14,9,4,13,14,20,26,12,6,25,29,10,17,28,9,27,25,8,19,11,11,20,8,5,11,14,5,18,20,29,9,13,13,20,5,28,11,14,27,21,5,6,16,27,5,27,29,15,8,9,20,29,11,19,5,7,19,11,19,13,22,11,27,11,29,25,5,5,29,12,8,13,25,29,9,9,6,16,7,7,20,5,7,8,25,21,22,22,22,5,13,28,28,27,29,25,7,5,15,8,27,27,16,27,19,19,8,3,16,3,5,14,27,27,16,21,3,3,17,16,7,3,6,5,27,8,17,27,27,9,15,12,17,25,15,6,24,9,27,17,6,27,25,24,20,24,27,22,25,13,27,15,5,13,25,25,29,10,27,9,13,2,10,25,27,27,8,21,3,7,24,13,25,7,5,5,19,5,19,11,4,16,13,10,28,5,11,27,20,15,15,7,13,16,5,27,19,21,26,4,17,10,6,9,6,6,27,25,27,28,5,14,19,11,5,27,10,25,25,18,16,27,5,23,11,29,29,12,6,7,24,27,21,12,25,25,19,5,25,3,29,25,25,11,20,10,10,14,14,8,27,19,22,26,15,10,11,14,28,18,19,25,27,20,27,9,27,27,20,19,3,27,27,25,11,13,13,9,9,28,19,10,14,14,27,18,12,19,25,27,26,6,19,27,6,10,19,12,29,13,14,9,18,28,5,10,27,7,17,27,29,11,27,14,5,26,11,11,12,13,9,27
1,9,9,5,5,11,11,14,14,26,15,14,9,2,2,19,27,27,25,27,29,6,8,6,13,8,2,10,19,6,6,6,27,19,20,14,26,11,21,25,14,27,26,14,14,4,6,5,6,26,3,25,11,27,10,27,2,25,13,27,19,15,27,4,20,8,8,19,22,5,18,20,29,19,25,13,20,5,5,11,14,21,8,5,6,16,2,25,19,29,8,7,9,20,26,24,19,5,29,17,11,11,21,22,11,27,11,26,27,5,24,29,14,20,18,10,6,9,9,6,6,16,7,18,27,27,19,11,21,22,22,22,6,13,28,28,27,9,25,14,5,5,10,27,27,27,27,19,27,9,16,9,27,16,12,25,27,5,21,3,3,7,24,7,7,24,9,27,15,17,16,7,9,9,23,16,16,16,15,7,27,27,17,16,27,7,24,10,24,27,27,13,27,27,19,19,9,25,4,5,27,13,10,9,5,10,16,27,8,8,5,10,7,12,10,9,25,16,19,11,19,2,5,3,13,24,13,28,11,22,27,25,15,8,14,14,20,15,20,19,21,28,4,9,5,14,5,5,6,27,15,27,24,8,3,2,22,5,3,27,25,29,9,16,10,9,23,5,8,19,12,8,24,18,12,12,12,25,6,3,5,25,29,29,9,9,11,20,10,10,14,14,8,8,19,22,19,24,19,11,8,19,9,26,25,27,20,19,16,26,18,14,28,28,9,27,26,12,5,13,9,9,29,26,29,11,10,27,18,27,9,19,24,26,5,12,27,6,21,19,17,15,13,19,9,18,28,5,16,27,6,3,27,29,11,14,27,5,26,6,25,14,14,9,21
2,8,8,11,5,11,11,14,14,14,29,14,19,9,25,25,5,27,19,8,17,29,25,9,6,8,19,5,19,6,17,26,9,19,24,13,5,14,5,25,27,20,5,14,14,24,14,29,19,5,10,28,11,20,21,8,15,25,26,25,26,17,4,4,11,27,22,8,7,19,27,10,29,19,7,13,20,29,5,6,14,27,28,22,6,16,2,16,19,29,28,7,28,28,29,15,27,5,20,14,14,14,20,14,11,13,11,19,27,2,21,10,14,9,19,25,29,9,6,25,16,5,13,12,27,27,15,25,25,22,22,12,6,13,28,28,27,9,27,27,5,5,27,27,27,27,27,27,5,7,27,27,27,6,5,27,16,21,6,7,7,7,7,7,7,12,5,3,5,19,27,27,9,9,12,13,12,6,19,5,24,15,6,28,6,7,25,12,26,25,27,13,20,9,13,19,20,27,28,27,17,6,10,25,22,10,27,20,27,8,3,10,25,12,13,13,20,13,20,27,19,16,12,5,13,13,10,27,11,11,27,3,15,6,6,5,12,29,20,21,21,28,5,11,5,22,5,16,6,25,3,14,25,25,5,2,18,29,9,10,25,14,5,29,10,13,16,25,8,19,6,12,7,10,27,13,25,25,25,19,14,15,11,29,9,29,9,8,10,20,14,14,22,21,19,8,24,11,19,19,14,28,14,9,27,28,24,22,27,9,18,5,29,25,3,27,29,11,27,13,9,9,27,19,10,17,14,27,22,12,19,25,19,29,6,12,9,6,10,19,25,15,26,14,19,27,28,5,8,16,3,15,27,19,28,27,19,19,7,11,11,11,7,9,10
3,5,19,15,5,11,11,28,16,26,14,19,9,23,2,11,5,27,9,27,6,29,25,10,6,8,5,5,8,6,10,27,27,19,8,19,5,20,27,27,6,27,25,14,14,5,14,29,11,5,10,10,19,24,28,20,24,14,24,5,9,15,19,29,25,27,26,15,25,5,18,18,19,22,7,13,25,19,11,6,14,16,21,11,27,16,2,26,9,10,28,27,20,20,19,24,27,5,14,11,11,14,14,19,11,29,11,14,5,2,24,11,14,11,19,5,25,5,9,19,16,5,7,27,5,8,4,25,13,22,22,22,6,27,28,5,27,29,25,27,21,15,27,27,27,27,27,27,27,21,25,27,9,19,27,16,25,5,16,6,7,18,24,7,3,12,5,23,25,19,29,8,11,9,5,9,24,3,5,5,24,27,27,16,27,8,10,12,28,6,27,13,14,22,11,2,21,19,4,24,8,12,10,25,6,10,5,27,21,5,29,10,12,12,10,13,7,13,9,29,19,16,14,24,29,27,28,28,11,16,27,25,15,25,14,7,12,24,27,27,21,24,5,9,10,12,10,16,6,25,29,27,26,25,6,9,18,8,8,9,25,14,5,27,10,27,25,5,27,19,6,12,5,28,13,20,9,25,25,29,5,22,29,29,9,25,29,20,10,4,14,11,27,27,19,25,24,3,12,12,9,28,18,19,28,28,22,6,24,26,18,5,28,27,3,3,5,11,15,13,5,9,28,19,10,14,14,5,22,27,19,25,19,5,24,9,9,6,10,19,13,11,8,19,9,5,18,12,26,27,28,15,19,19,20,19,27,29,7,28,20,10,28,26,27
4,27,14,13,11,11,14,13,14,14,27,20,9,9,25,27,29,24,27,29,6,29,10,9,8,8,22,27,8,5,27,27,27,27,5,11,5,14,16,3,25,27,25,14,27,13,14,4,8,5,10,3,13,13,13,19,14,9,11,20,9,24,3,14,20,27,29,15,14,11,18,18,9,22,7,5,16,13,4,6,14,9,28,29,8,15,5,9,9,6,19,5,20,20,26,5,27,5,14,25,11,14,14,14,18,6,11,26,25,13,12,6,12,22,19,25,9,5,9,25,6,21,7,29,5,8,2,10,25,22,22,22,6,13,28,5,27,9,27,9,21,21,27,27,5,19,27,19,27,21,25,27,5,19,27,5,5,25,6,27,5,18,3,8,19,12,5,23,25,19,27,16,19,9,5,9,16,6,19,5,7,5,27,6,5,8,28,12,24,6,24,13,16,15,22,29,20,7,25,4,8,10,3,25,6,13,9,5,16,5,5,10,12,14,10,13,27,19,27,24,16,5,9,8,13,24,6,28,11,5,27,25,25,6,29,5,12,29,13,6,27,25,5,2,5,6,5,5,6,25,25,27,27,5,6,19,15,8,27,9,19,3,5,12,10,27,19,5,27,19,9,22,23,14,11,25,12,25,25,27,19,25,5,29,9,27,29,20,10,29,17,11,22,27,19,2,10,27,27,22,8,6,6,19,5,28,22,27,8,28,9,11,2,25,3,17,25,11,10,13,28,9,29,19,10,11,14,5,22,27,26,28,21,10,6,12,3,6,20,19,27,12,5,9,19,27,18,12,8,16,28,3,27,21,20,17,27,29,19,15,11,12,28,9,12
5,19,19,5,11,11,28,14,14,14,22,27,19,2,25,29,5,13,9,9,5,10,23,27,17,27,5,5,6,27,27,9,27,19,8,27,10,12,28,9,14,19,17,27,2,6,6,11,29,11,14,24,11,24,12,22,9,25,2,5,6,24,3,13,19,27,5,4,16,5,29,19,27,8,9,21,9,9,9,12,14,9,7,29,11,16,5,7,10,6,28,27,20,20,19,24,27,27,27,25,19,14,14,14,26,29,19,25,22,2,5,29,14,11,2,11,29,27,9,25,27,5,13,27,5,8,11,22,5,22,20,22,19,18,25,28,27,14,27,27,21,6,27,27,18,19,27,19,27,21,27,27,5,5,27,19,2,25,6,27,29,10,3,8,4,10,13,16,25,16,26,2,24,9,18,9,5,7,5,27,5,5,27,6,25,19,19,12,12,29,4,5,9,9,27,9,10,19,25,29,8,19,3,25,27,13,9,25,8,5,14,10,10,19,10,13,7,21,25,2,16,5,14,24,26,25,6,24,11,5,27,25,27,27,14,27,11,24,19,27,6,9,6,8,10,6,9,8,6,25,7,25,17,5,6,5,9,7,27,9,19,3,6,23,10,27,25,8,8,24,25,5,27,22,28,22,15,25,25,29,9,25,25,29,14,8,8,4,10,8,22,27,15,27,19,25,27,10,19,12,18,28,9,19,28,28,16,6,27,9,18,27,12,25,19,19,25,11,27,29,25,9,3,20,10,23,14,14,10,12,19,23,21,10,6,28,3,6,19,19,3,9,9,14,9,27,18,12,10,27,28,17,27,19,20,8,27,19,11,13,9,5,9,9,12
6,8,8,5,5,11,14,14,14,14,22,25,27,27,25,27,5,13,27,14,27,29,23,27,17,6,19,5,6,5,6,9,27,19,27,27,11,12,28,9,14,6,25,27,2,15,14,12,29,25,10,3,11,24,10,20,21,25,14,20,6,29,3,19,4,27,29,20,18,10,18,19,15,5,7,21,5,9,9,6,14,24,28,29,9,11,5,10,3,6,28,5,20,20,26,19,27,27,8,29,19,14,14,14,20,29,6,19,25,18,19,19,14,22,7,25,27,9,9,14,27,5,8,5,5,8,2,10,25,22,22,22,6,6,28,5,3,9,27,18,10,6,6,27,15,19,27,19,27,27,27,9,6,6,27,19,21,25,6,21,27,22,3,29,2,10,10,27,12,26,26,16,24,24,29,9,24,13,6,27,27,5,19,5,19,25,19,12,12,6,28,5,9,9,16,9,10,5,5,4,8,19,6,5,12,13,9,9,8,5,5,10,25,15,10,25,13,20,25,2,27,9,14,8,29,4,10,7,20,21,14,25,27,14,5,5,14,11,27,7,21,27,27,10,7,27,12,19,6,6,23,6,16,27,5,9,9,7,27,9,15,3,5,5,25,27,7,16,27,9,25,11,29,11,28,12,15,25,12,29,26,25,19,10,9,17,27,4,10,8,21,18,27,27,25,2,2,8,19,8,18,22,5,19,7,12,8,19,9,9,16,12,2,25,3,3,27,11,10,12,25,9,9,19,10,26,14,22,9,27,9,23,26,3,3,27,27,22,27,19,17,9,9,19,19,27,28,5,27,28,28,9,27,27,10,8,27,29,15,13,27,5,18,9,5
7,27,15,12,11,15,16,14,14,14,3,27,9,9,6,29,27,13,9,6,5,10,6,27,26,8,6,5,5,27,16,27,27,27,27,27,25,27,20,3,25,27,19,27,27,24,14,14,27,6,28,28,11,14,21,27,15,25,27,27,6,5,5,13,4,27,29,4,10,21,21,12,9,5,16,8,5,6,19,6,7,24,28,5,8,13,5,26,3,14,28,27,20,20,26,15,2,5,8,6,19,6,14,4,11,9,28,25,18,2,10,19,11,19,14,25,27,27,17,14,27,14,8,5,5,19,8,13,17,17,22,27,27,6,25,27,27,14,27,5,5,8,27,22,27,27,27,27,27,17,27,3,19,26,27,19,21,25,2,21,27,14,3,12,4,22,20,16,21,27,20,19,19,24,11,9,24,13,5,11,6,5,11,7,10,25,25,5,12,25,28,5,9,5,27,29,9,6,21,9,5,3,18,12,6,9,5,27,5,19,21,24,28,19,25,25,13,21,2,2,6,16,27,27,5,3,12,24,21,16,21,27,16,5,8,5,11,11,27,21,21,6,9,8,5,27,6,12,3,9,7,23,17,16,13,9,9,7,4,9,12,3,5,3,25,5,28,17,27,19,5,8,27,28,28,22,22,25,25,27,28,27,5,29,9,8,27,20,6,8,22,27,27,21,27,19,19,5,3,5,28,6,10,15,7,6,5,9,9,24,16,27,2,25,6,3,25,15,27,25,28,9,28,19,10,11,14,10,22,27,19,28,26,3,3,6,19,8,27,19,28,9,9,6,19,18,28,20,9,28,28,28,27,27,10,8,27,29,11,13,22,27,24,9,5
8,8,15,15,15,11,15,14,14,27,26,19,9,29,25,29,5,9,9,10,22,29,29,27,10,29,5,19,5,5,6,21,27,19,24,27,29,14,13,3,27,11,5,27,12,6,14,10,27,12,28,28,11,24,24,6,29,25,25,20,19,19,13,13,19,27,15,21,10,10,9,12,15,19,9,14,5,9,6,6,7,24,28,28,19,16,9,26,3,6,28,27,20,11,26,9,27,27,12,17,17,27,5,22,11,9,15,14,25,18,15,15,19,19,25,11,27,6,29,8,16,11,8,5,15,19,14,27,17,5,14,22,27,6,29,5,14,14,5,26,27,8,21,19,27,19,27,27,27,9,25,19,19,6,25,13,21,10,6,5,8,10,3,22,3,11,10,7,7,19,20,15,19,24,4,9,26,6,5,5,8,5,14,7,19,25,19,12,12,12,23,27,15,9,27,13,10,5,6,4,27,3,24,24,6,13,7,9,19,19,19,5,12,19,4,25,13,13,25,5,9,6,27,5,5,3,10,24,24,14,13,27,25,27,8,19,11,5,27,7,21,10,22,8,29,10,8,6,5,25,7,23,17,26,16,9,9,7,17,9,12,13,6,11,5,15,16,27,27,14,5,5,4,2,28,22,15,25,11,29,27,27,25,29,9,16,27,4,22,21,21,19,27,27,27,27,2,19,22,2,20,6,28,15,3,7,8,19,9,19,24,12,12,3,25,16,13,13,15,19,9,9,9,19,9,10,14,5,9,27,26,23,26,3,3,3,27,13,19,19,28,9,9,19,19,27,28,28,9,28,28,28,27,27,10,20,27,29,15,27,11,24,24,9,16
9,11,15,15,11,12,14,14,14,11,20,12,9,9,6,27,27,13,12,29,6,15,23,27,27,27,6,16,5,5,6,21,27,27,24,5,29,5,13,3,25,6,5,13,9,13,14,10,27,27,3,26,11,24,24,7,25,25,27,27,20,19,11,19,24,27,27,11,10,5,9,21,10,19,27,5,5,9,6,6,7,9,28,26,27,13,9,26,6,28,28,20,7,28,26,16,26,27,29,6,19,11,21,22,20,14,15,24,5,21,29,12,22,18,4,5,5,27,17,27,16,14,7,21,25,13,22,14,22,22,22,20,25,28,27,27,27,29,27,5,5,8,27,27,27,27,27,27,11,21,9,3,12,5,5,19,21,25,2,21,21,11,3,22,19,22,13,21,4,19,20,16,19,7,17,9,26,6,6,29,8,5,11,19,10,26,8,12,12,12,6,3,15,9,27,13,10,21,6,17,4,3,3,16,6,6,28,23,29,26,19,19,5,28,4,25,13,20,25,6,15,23,14,27,25,28,24,24,21,25,14,27,27,19,8,19,11,24,27,19,4,22,22,4,11,10,25,19,5,25,25,29,12,16,19,10,15,3,17,27,12,16,25,11,5,27,16,3,27,19,5,5,19,8,28,15,15,25,22,18,5,24,11,14,27,28,27,4,14,21,22,22,27,21,25,25,14,25,3,12,12,24,27,28,3,5,27,19,19,28,27,28,9,3,25,28,17,27,27,28,14,9,9,19,9,26,9,26,28,27,26,23,26,19,27,17,5,27,28,19,9,7,9,28,19,27,5,5,27,9,28,19,17,27,9,17,27,29,7,27,26,16,24,13,27
